name,type,lat,lng
Chakgaria Drainage Pumping Station,toilet,22.4769822,88.4022735
SBM TOILET,toilet,22.46747,88.404012
Public Toilet,toilet,22.4641602,88.3798539
Public toilet for male and female,toilet,22.4659232,88.376017
ashis adhikary,toilet,22.4797732,88.3978242
Sonai Street Public Toilet,toilet,22.5279477,88.3028939
B B Hall Public Toilet,toilet,22.5264562,88.3044667
Princep ghat station Public Toilet,toilet,22.5566295,88.3314486
Street Toilet,toilet,22.528044,88.3023836
Pay & Use Bathroom,toilet,22.5210516,88.30946
Pay and use toilet,toilet,22.5486734,88.2877633
Toilet,toilet,22.5256652,88.304232
Sonai road public toilet,toilet,22.529182,88.3043718
Public toilet,toilet,22.5273183,88.3038086
River View ORH,toilet,22.5462508,88.3080226
Toilet sonai,toilet,22.529528,88.3031045
Pasiyana Public Toilet,toilet,22.5289859,88.3024374
Community Toilet,toilet,22.5262459,88.3039166
MARINE CLUB,toilet,22.5408448,88.3072589
"eToilet, Dhakuria Lake",toilet,22.5097778,88.3588569
Sanjeet Rai toilet,toilet,22.530074,88.309404
Handicapped Public Toilet,toilet,22.5174097,88.3023075
Kolkata Port Trust Hospital,toilet,22.5178199,88.3214003
Khidderpore Dock,toilet,22.5435794,88.3151991
BNR Officers' Cl,toilet,22.5463997,88.3083764
Ranta plot Toilet,toilet,22.5260597,88.3049084
Pay and Use Toilet,toilet,22.5615902,88.4033838
Sulabh Shauchalay,toilet,22.5616904,88.4079886
Pay And Use Toilet,toilet,22.5710445,88.3964731
SBM TOILET,toilet,22.571192,88.3965
Pay and use toilet,toilet,22.5661283,88.4032562
PAY & USE TOILET,toilet,22.5586309,88.4098805
SBM TOILET,toilet,22.5635333,88.4029084
SULABH SAUCHALAYA,toilet,22.5718371,88.3916101
Children park toilet,toilet,22.5669547,88.4004663
"Sulabh Souchalay, Beliaghata",toilet,22.5634784,88.3962073
Pay & Use Toilet,toilet,22.5554845,88.3951453
Pay And Use Toilet,toilet,22.5719033,88.4064725
Pay And Use Toilet,toilet,22.5740722,88.4094414
Public toilet,toilet,22.5571943,88.4094092
PAY & USE TOILET,toilet,22.5533915,88.4063705
CALCUTTA BATH,toilet,22.5645758,88.386339
"GROHE Authorised Dealer - Wall And Floor I Bath & Sanitaryware, Shower, Faucets And Kitchen Mixer Taps",toilet,22.5633611,88.406754
PAY & USE TOILET,toilet,22.5845123,88.3918015
Balindar paswan,toilet,22.5604624,88.3951123
Bathroom pay,toilet,22.5433888,88.3867816
Pay Use Toilet,toilet,22.5854689,88.4203406
Toilet,toilet,22.5855471,88.4203291
Jeet International,toilet,22.5678104,88.3922797
Rabin Das,toilet,22.5526332,88.3974383
Public Toilet,toilet,22.5641184,88.4120492
Indian oil toilet,toilet,22.5416866,88.396932
Public Pay & Use Toilet,toilet,22.5655208,88.3979003
Maa Tara Marble,toilet,22.5636051,88.3921652
Srijoni Healing Home Pvt. Ltd.,toilet,22.5668952,88.3931476
Toilet,toilet,22.5858391,88.419486
Pay & Use Toilet - Tollygunge,toilet,22.5018642,88.3539297
KMC Pay & Use Toilet,toilet,22.4897719,88.3612705
Pay & Use Toilet,toilet,22.4935331,88.3719127
SBM TOILET,toilet,22.4933498,88.3450232
Ramaesis RPL,toilet,22.5041132,88.3479668
মজুমদা স্যানিট,toilet,22.4898751,88.3632497
Veda Container & Truck Bodies,toilet,22.495594,88.365668
Tollygunge Emergency Police Housing Estate Toilet,toilet,22.4951045,88.34761
Tollygunge Emergency Police Housing Estate Toilet,toilet,22.4951819,88.3476547
M L Roy & Co Sanitations Pvt Ltd,toilet,22.518354,88.3600472
Wannbe Industries,toilet,22.487797,88.3985713
Mind Malaria,toilet,22.4908152,88.4005035
Pay and Use Public Toilet,toilet,22.512259,88.40335
SBM TOILET,toilet,22.6264485,88.4178304
Public Toilet,toilet,22.621612,88.4326988
Public Toilet,toilet,22.6415811,88.4310251
সুলভ শৌচালয়,toilet,22.6263262,88.4176565
Pay and Use complex,toilet,22.6216089,88.4326981
K.M.C Pay & Use Toilet - New Alipore,toilet,22.5123994,88.3290176
Pay & Use Toilet,toilet,22.507368,88.3226243
Pay & Use Toilet - New Alipore,toilet,22.5070551,88.3371641
"KMC Pay & Use Toilet, Durgapur Colony",toilet,22.509685,88.332539
New Alipore,toilet,22.509622,88.3326326
SBM TOILET,toilet,22.4998913,88.3182898
SBM TOILET,toilet,22.5072865,88.3226217
Taratala Pay and Use Toilet (Public Toilet),toilet,22.5093045,88.3208456
Pay and Use toilet,toilet,22.517047,88.3406256
KMC Clean Complex,toilet,22.5154535,88.3344891
Pay and Use Toilet (Public Toilet),toilet,22.5135149,88.3226065
Sulabh complex,toilet,22.5124196,88.3290363
Pay & Use Toilet,toilet,22.509006,88.3361877
Public Toilet,toilet,22.5139194,88.3227811
SBM TOILET,toilet,22.499368,88.31701
SBM TOILET,toilet,22.51,88.34
Public Toilet,toilet,22.5093984,88.3064767
Sulabh Souchalaya,toilet,22.5069619,88.3372604
PAY & USE TOILET,toilet,22.5014688,88.3403779
SBM TOILET,toilet,22.52148,88.33952
A Penguin,toilet,22.5047522,88.3324308
Kalighat public toilet,toilet,22.5205018,88.341075
SBM TOILET,toilet,22.5013602,88.3309179
KMC Pay And Use Toilet,toilet,22.5176302,88.3457713
SBM TOILET,toilet,22.52388,88.3481
SBM TOILET,toilet,22.518,88.35696
SBM TOILET,toilet,22.524698,88.3523581
Pay & use toilet,toilet,22.5178745,88.3542204
Public toilet,toilet,22.5189772,88.3657186
SBM TOILET,toilet,22.51924,88.36202
SBM TOILET,toilet,22.51979,88.34653
Pay & Use Toilet,toilet,22.5200723,88.3465948
SBM TOILET,toilet,22.5199298,88.3599804
SULABH TOILET COMPLEX,toilet,22.532047,88.3529195
Pay and Use Toilet,toilet,22.5191949,88.3474897
Public Toilet,toilet,22.5293946,88.3721468
Public Toilet,toilet,22.5343906,88.3464683
Sanitary Sales,toilet,22.5181151,88.3456524
Toilet,toilet,22.6208625,88.4134219
Pay and use Toilet,toilet,22.6226444,88.3933022
সুলভ শৌচালয়(public Toilet),toilet,22.6291148,88.3930396
SBM TOILET,toilet,22.6352411,88.3981344
পায়খানা ঘর,toilet,22.6201527,88.3944183
SBM TOILET,toilet,22.6292551,88.3944065
Pay and use Toilet 10Rs,toilet,22.6197735,88.3921331
Male urinal,toilet,22.6202096,88.3932193
Sulav Souchalaya,toilet,22.6349684,88.4097855
Pay & Use Toilet (DumDum Junction),toilet,22.6214852,88.3924395
SBM TOILET,toilet,22.62553,88.38277
Public toilet,toilet,22.6199948,88.4134588
